dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,source_of_data,data_publicity,doi,wwf_biome
41764,SKAIDJVR,24041,Lake Skaidejavri,27.83997,70.0476,183,Glacial Origin Lake,Europe,Finland,Europe,89,-37,8441.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/fka8-9069,Tundra
4200,LGLOPPSJ,3234,Lilla Gloppsjön,14.62333,59.80167,198,Natural Lake,Europe,Sweden,Europe,68,-22,8305,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/vpnw-pv89,Boreal forests/taiga
4203,LIIVJARV,3236,Liivjarve Bog,27.57509,59.30546,46,Bog,Europe,Estonia,Europe,56,331,8449,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/raph-rb39,Temperate broadleaf and mixed forests
4239,MAANSEL,3264,Maanselänsuo,29.61124,65.61709,248,Mire,Europe,Finland,Europe,19,599.5,8413,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/1g98-ct07,Boreal forests/taiga
4259,MAYRA,3279,Mayralampi,26.23393,62.34206,118,Lacustrine,Europe,Finland,Europe,73,439,8436.5,6,Radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/g1np-hb58,Boreal forests/taiga
4286,MUKKAV,3302,Mukkavaara,21,68.91667,535,Glacial Origin Lake,Europe,Finland,Europe,45,118.5,8356.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/pvn2-a273,Tundra
4308,NIGULA,3316,Nigula,24.68735,58.00009,55,Raised Bog,Europe,Estonia,Europe,57,112,8438,12,Radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/cr8f-k669,Temperate broadleaf and mixed forests
4369,RAIGASTV,3369,Raigastvere Lake,26.64967,58.59222,52,Lacustrine,Europe,Estonia,Europe,85,63.5,8495,11,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/20xs-m168,Temperate broadleaf and mixed forests
4372,RATTUV,3372,Råttuvarri,20.31667,69.35,100,Natural Lake,Europe,Norway,Europe,21,161.5,8472.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/zqse-ep64,Tundra
4393,RYONANSU,3389,Ryönänsuo,24.17439,60.43763,70,Raised Bog,Europe,Finland,Europe,59,302,8392.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/1csm-st79,Boreal forests/taiga
4403,SAMBOTOT,3398,Lake Sämbosjön,12.41426,57.16313,35,Drained Lake,Europe,Sweden,Europe,84,733.5,8457,15,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/53ys-nt12,Temperate broadleaf and mixed forests
4445,SOLSOE81,3432,Lake Solsø,8.61199,56.12781,41,Drained Lake,Europe,Denmark,Europe,51,18.5,8383,30,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/4r4q-0m97,Temperate broadleaf and mixed forests
4472,SYRJALAN,3455,Syrjälänsuo,28.11667,61.21667,83,Bog,Europe,Finland,Europe,59,133.5,8450,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/26e5-b250,Boreal forests/taiga
44941,KILOMYR,25998,Myrvatnet,16.37673,68.6586,197,Glacial Origin Lake,Europe,Norway,Europe,52,-24,8307,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/phqc-me73,Tundra
4497,TUIU,3478,Mire Johvika,22.38803,58.4848,32,Mire,Europe,Estonia,Europe,23,272,8001,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/zcst-x145,Temperate broadleaf and mixed forests
4531,WEST,3505,Mire Pelisoo,22.38333,58.46667,33,Raised Bog,Europe,Estonia,Europe,45,247,8248,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/h1sz-c208,Temperate broadleaf and mixed forests
45312,VUOLEPAL,26118,Vuolep Allasasjaure,18.16667,68.16667,995,Lacustrine,Europe,Sweden,Europe,74,18.5,8395,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/c1g1-cw06,Tundra
45329,OTTMOR,26123,Morttjern,11.61778,59.05972,227,Natural Lake,Europe,Norway,Europe,46,-28,8466,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/bkyg-et47,Temperate broadleaf and mixed forests
45343,OTTSVA,26125,Svartvatnet,8.87778,63.35139,183,Natural Lake,Europe,Norway,Europe,47,-28,8381.5,11,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/4k7v-pp08,Temperate coniferous forests
45345,OTTTIA,26126,Tiåvatnet,9.41694,63.05972,464,Natural Lake,Europe,Norway,Europe,74,-29,8394.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/aext-h866,Tundra
45347,OTTRAT,26127,Råtåsj¢en,9.83333,62.26667,1169,Natural Lake,Europe,Norway,Europe,47,44,8490,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/0zgh-6r09,Tundra
45349,OTTAFS,26128,Afstj¢rna,9.87667,61.64917,991,Natural Lake,Europe,Norway,Europe,35,-28.5,8183.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/e3mw-tc57,Tundra
45351,OTTMAS,26129,Måsåtjørnet,10.26778,61.5625,841,Natural Lake,Europe,Norway,Europe,38,-25,8154.999999999999,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/geb4-ch43,Tundra
45377,MUST,26142,Mustjärve bog,24.1,59.075,39,Bog,Europe,Estonia,Europe,105,50,8407,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/3pzj-0y37,Temperate broadleaf and mixed forests
45379,RUI,26143,Lake Ruila,24.43111,59.175,43,Lacustrine,Europe,Estonia,Europe,31,42,8408,11,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/8c8d-g988,Temperate broadleaf and mixed forests
45381,MAASV,3265,Lake Maardu,25,59.43333,32,Lacustrine,Europe,Estonia,Europe,71,50,8317,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/45g4-ry85,Temperate broadleaf and mixed forests
